Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
9 17 27 51,4,0 0 99 499 702 1102,0 0 100 500 700 1100,3.162
3 9 17 27,2,0 98 203 302 702 800,0 100 200 300 700 800,4.583
3 17 27 51,5,0 499 597 702 997 1102,0 500 600 700 1000 1100,5.196
7 21 25 53,5,0 602 702 798 1004 1100,0 600 700 800 1000 1100,5.292
11 33 35 37,4,0 96 702 798 900 1098,0 100 700 800 900 1100,5.292
1 3 9 17,5,0 400 498 603 996 1101,0 400 500 600 1000 1100,5.477
1 3 9 27,4,0 0 204 499 702 997,0 0 200 500 700 1000,5.477
3 9 17 51,1,0 0 498 596 603 701,0 0 500 600 600 700,5.477
3 9 27 51,5,0 400 498 603 996 1101,0 400 500 600 1000 1100,5.477
1 3 17 27,3,0 99 204 499 801 1095,0 100 200 500 800 1100,6.633
1 3 9 19,2,0 201 404 498 903 996,0 200 400 500 900 1000,6.782
1 3 9 51,4,0 105 499 603 997 1102,0 100 500 600 1000 1100,6.928
1 9 17 27,2,0 597 702 801 997 1095,0 600 700 800 1000 1100,6.928
1 9 17 51,2,0 498 603 702 997 1095,0 500 600 700 1000 1100,7.141
1 9 27 51,2,0 98 203 302 597 905,0 100 200 300 600 900,7.141
1 3 17 51,4,0 0 105 499 702 1095,0 0 100 500 700 1100,7.416
1 3 27 51,4,0 98 702 800 905 1095,0 100 700 800 900 1100,7.616
1 3 17 19,2,0 299 404 597 903 1095,0 300 400 600 900 1100,7.746
9 27 43 51,3,0 296 395 604 702 998,0 300 400 600 700 1000,8.062
13 31 39 49,5,0 305 395 700 803 1097,0 300 400 700 800 1100,8.246
7 21 47 53,1,0 99 195 403 897 1105,0 100 200 400 900 1100,8.307
1 9 17 19,1,0 94 105 199 298 1102,0 100 100 200 300 1100,8.367
1 17 27 51,5,0 295 702 996 1095 1101,0 300 700 1000 1100 1100,8.426
17 27 43 51,2,0 104 399 498 806 904,0 100 400 500 800 900,8.544
1 3 19 27,3,0 204 298 502 796 906,0 200 300 500 800 900,8.718
3 9 19 27,3,0 94 204 298 702 796,0 100 200 300 700 800,8.718
7 21 25 47,2,0 194 302 896 1004 1198,0 200 300 900 1000 1200,8.718
1 9 19 27,1,0 94 298 702 906 1000,0 100 300 700 900 1000,8.944
3 9 17 19,4,0 94 604 697 796 1102,0 100 600 700 800 1100,9.0
9 17 43 51,3,0 197 296 604 794 1102,0 200 300 600 800 1100,9.0
3 27 43 51,5,0 701 805 904 996 1095,0 700 800 900 1000 1100,9.11
7 25 47 53,4,0 101 897 997 1093 1104,0 100 900 1000 1100 1100,9.165
1 17 19 27,1,0 193 298 801 906 1099,0 200 300 800 900 1100,9.539
3 17 19 27,3,0 193 204 397 796 801,0 200 200 400 800 800,9.539
3 9 19 51,2,0 94 105 199 604 796,0 100 100 200 600 800,9.695
1 3 19 51,5,0 394 405 798 903 1095,0 400 400 800 900 1100,9.95
3 17 43 51,5,0 302 406 597 905 1095,0 300 400 600 900 1100,9.95
1 9 19 51,5,0 300 393 597 903 1106,0 300 400 600 900 1100,10.149
