Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
1 7 15 21,4,0 119 471 590 702 1088,0 100 500 600 700 1100,38.079
9 17 19 23,5,0 584 677 776 1008 1107,0 600 700 800 1000 1100,38.393
15 17 19 21,3,0 193 618 811 984 1027,0 200 600 800 1000 1000,38.458
1 5 7 21,5,0 387 471 618 702 1088,0 400 500 600 700 1100,38.497
1 3 5 21,5,0 414 498 729 884 1115,0 400 500 700 900 1100,39.013
1 5 7 19,5,0 298 386 529 617 915,0 300 400 500 600 900,39.433
3 5 7 19,3,0 316 404 583 671 987,0 300 400 600 700 1000,39.636
1 5 9 21,1,0 84 204 288 471 1018,0 100 200 300 500 1000,39.762
1 3 15 21,5,0 387 498 618 729 1116,0 400 500 600 700 1100,39.925
1 9 17 23,3,0 105 204 677 775 880,0 100 200 700 800 900,39.937
1 5 17 21,1,0 84 105 189 471 919,0 100 100 200 500 900,40.05
5 7 9 19,5,0 94 182 529 617 711,0 100 200 500 600 700,40.137
1 9 15 21,4,0 414 618 729 884 996,0 400 600 700 900 1000,40.41
1 7 15 19,4,0 119 298 417 529 1088,0 100 300 400 500 1100,40.485
3 7 15 19,2,0 119 386 529 796 915,0 100 400 500 800 900,40.485
5 7 17 19,5,0 193 281 529 617 810,0 200 300 500 600 800,40.497
1 15 17 21,4,0 105 217 471 582 687,0 100 200 500 600 700,40.596
3 9 17 23,1,0 425 498 523 597 1022,0 400 500 500 600 1000,40.632
3 17 19 23,4,0 74 405 677 1008 1081,0 100 400 700 1000 1100,40.682
7 9 15 19,5,0 94 119 213 529 884,0 100 100 200 500 900,40.78
3 7 15 21,2,0 119 386 702 969 1088,0 100 400 700 1000 1100,40.817
7 15 17 19,4,0 119 193 312 529 983,0 100 200 300 500 1000,41.037
1 7 19 21,5,0 298 471 529 702 999,0 300 500 500 700 1000,41.122
3 5 17 21,4,0 85 604 688 919 969,0 100 600 700 900 1000,41.316
3 5 7 21,2,0 386 618 702 885 969,0 400 600 700 900 1000,41.352
3 9 19 23,4,0 74 405 776 1106 1180,0 100 400 800 1100 1200,41.388
9 15 17 23,2,0 217 316 677 776 992,0 200 300 700 800 1000,41.4
3 5 9 21,1,0 182 231 414 498 1116,0 200 200 400 500 1100,41.725
1 3 5 7,2,0 231 498 618 885 1116,0 200 500 600 900 1100,42.071
1 3 17 23,2,0 73 105 178 677 702,0 100 100 200 700 700,42.083
3 15 17 21,2,0 216 582 603 969 1185,0 200 600 600 1000 1200,42.131
1 5 7 9,5,0 183 231 414 618 996,0 200 200 400 600 1000,42.261
1 17 19 23,5,0 380 572 677 903 1008,0 400 600 700 900 1000,42.261
3 9 15 21,3,0 231 498 618 884 1116,0 200 500 600 900 1100,42.438
1 3 7 15,5,0 583 702 814 969 1081,0 600 700 800 1000 1100,42.556
5 9 17 23,5,0 495 677 776 919 1018,0 500 700 800 900 1000,42.603
3 9 15 23,2,0 74 316 389 776 814,0 100 300 400 800 800,42.72
3 7 19 21,2,0 297 529 702 796 969,0 300 500 700 800 1000,42.79
1 5 7 17,2,0 105 582 687 919 969,0 100 600 700 900 1000,42.895
7 11 13 23,0,0 76 128 205 417 987,0 100 100 200 400 1000,42.93
1 3 9 23,5,0 425 498 923 996 1126,0 400 500 900 1000 1100,43.012
1 9 19 23,5,0 479 572 776 903 1107,0 500 600 800 900 1100,43.116
1 15 17 23,1,0 112 217 572 677 789,0 100 200 600 700 800,43.209
3 5 17 23,4,0 74 316 677 919 992,0 100 300 700 900 1000,43.428
1 7 9 15,5,0 120 231 884 996 1116,0 100 200 900 1000 1100,43.463
3 15 17 23,4,0 386 524 910 983 1127,0 400 500 900 1000 1100,43.474
1 7 15 17,4,0 105 217 969 1080 1185,0 100 200 1000 1100 1200,43.589
3 5 9 23,4,0 74 316 775 1017 1091,0 100 300 800 1000 1100,43.898
1 9 15 23,2,0 112 316 572 776 887,0 100 300 600 800 900,43.92
1 3 7 21,2,0 0 231 498 702 969,0 0 200 500 700 1000,43.932
5 9 17 21,3,0 84 267 919 1101 1185,0 100 300 900 1100 1200,43.955
7 9 15 21,5,0 120 267 386 702 884,0 100 300 400 700 900,44.102
1 5 17 23,5,0 291 572 677 814 919,0 300 600 700 800 900,44.17
3 5 7 9,5,0 183 498 618 933 1116,0 200 500 600 900 1100,44.294
5 7 9 21,5,0 183 267 618 702 884,0 200 300 600 700 900,44.294
3 5 7 17,5,0 267 582 603 918 1185,0 300 600 600 900 1200,44.396
1 5 9 23,5,0 390 572 776 814 1018,0 400 600 800 800 1000,44.497
9 15 17 21,3,0 99 618 717 933 983,0 100 600 700 900 1000,44.632
7 9 19 21,5,0 94 267 529 702 795,0 100 300 500 700 800,44.665
3 7 15 17,4,0 119 597 716 933 983,0 100 600 700 900 1000,44.766
11 13 21 23,4,0 81 213 293 370 1123,0 100 200 300 400 1100,44.811
15 17 19 23,2,0 217 410 677 870 1086,0 200 400 700 900 1100,44.878
7 15 17 21,4,0 119 366 485 702 983,0 100 400 500 700 1000,45.111
1 3 19 23,4,0 74 405 572 903 976,0 100 400 600 900 1000,45.497
3 7 9 15,5,0 120 498 618 884 933,0 100 500 600 900 900,45.53
1 3 15 23,1,0 73 112 185 572 814,0 100 100 200 600 800,45.585
5 17 19 23,0,0 88 281 330 523 612,0 100 300 300 500 600,45.585
1 3 5 23,4,0 74 316 572 814 887,0 100 300 600 800 900,45.618
7 17 19 21,5,0 193 366 529 702 894,0 200 400 500 700 900,45.673
5 7 17 21,5,0 282 366 618 702 983,0 300 400 600 700 1000,45.793
9 15 19 23,3,0 316 409 776 869 1185,0 300 400 800 900 1200,45.815
5 9 19 23,0,0 88 182 330 424 513,0 100 200 300 400 500,45.967
9 13 17 23,5,0 425 465 889 988 1101,0 400 500 900 1000 1100,46.0
5 7 11 15,3,0 417 498 916 1035 1081,0 400 500 900 1000 1100,46.206
1 7 9 21,5,0 232 267 498 702 996,0 200 300 500 700 1000,46.228
1 17 19 21,1,0 105 173 278 471 1008,0 100 200 300 500 1000,46.293
5 7 9 17,4,0 99 282 435 618 717,0 100 300 400 600 700,46.508
1 9 19 21,1,0 173 204 377 471 1107,0 200 200 400 500 1100,46.519
1 3 19 21,5,0 325 498 729 795 1026,0 300 500 700 800 1000,46.594
3 7 9 21,5,0 0 267 498 702 933,0 0 300 500 700 900,46.755
3 13 17 23,3,0 73 212 597 735 809,0 100 200 600 700 800,46.776
5 11 15 21,3,0 81 165 618 702 783,0 100 200 600 700 800,46.936
1 7 17 21,5,0 232 366 597 702 1095,0 200 400 600 700 1100,47.096
3 15 19 23,5,0 331 386 717 790 1126,0 300 400 700 800 1100,47.138
1 13 17 23,4,0 105 465 628 988 1093,0 100 500 600 1000 1100,47.191
3 5 19 23,4,0 74 316 869 1111 1185,0 100 300 900 1100 1200,47.318
3 17 19 21,4,0 174 604 777 969 1008,0 200 600 800 1000 1000,47.392
3 7 17 21,5,0 267 498 603 834 1101,0 300 500 600 800 1100,47.529
7 9 15 17,3,0 99 120 219 435 983,0 100 100 200 400 1000,47.707
1 15 19 23,2,0 112 410 572 870 981,0 100 400 600 900 1000,47.843
1 9 13 23,4,0 204 564 628 988 1192,0 200 600 600 1000 1200,48.0
1 5 19 23,0,0 88 330 386 628 717,0 100 300 400 600 700,48.094
3 9 13 23,2,0 489 563 702 988 1126,0 500 600 700 1000 1100,48.104
7 11 19 21,1,0 80 528 609 782 1027,0 100 500 600 800 1000,48.146
3 9 19 21,1,0 93 231 325 498 1027,0 100 200 300 500 1000,48.662
7 9 17 21,4,0 99 366 435 702 801,0 100 400 400 700 800,48.857
5 7 13 21,3,0 370 618 988 1072 1116,0 400 600 1000 1100 1100,49.071
1 7 17 19,5,0 193 231 424 529 1095,0 200 200 400 500 1100,49.518
7 13 15 21,4,0 128 583 711 830 1081,0 100 600 700 800 1100,49.548
5 7 11 13,3,0 289 617 907 1035 1072,0 300 600 900 1000 1100,49.679
1 7 9 19,5,0 94 231 325 529 996,0 100 200 300 500 1000,49.79
13 17 19 23,2,0 192 212 405 736 869,0 200 200 400 700 900,49.9
5 11 13 21,5,0 205 289 370 1035 1115,0 200 300 400 1000 1100,49.96
1 3 17 21,3,0 105 471 604 969 1074,0 100 500 600 1000 1100,50.19
5 11 19 21,2,0 8 88 173 1035 1119,0 0 100 200 1000 1100,50.229
1 3 13 23,0,0 138 212 498 571 710,0 100 200 500 600 700,50.329
5 7 11 19,1,0 165 529 694 783 1112,0 200 500 700 800 1100,50.349
1 3 7 19,2,0 231 498 529 796 1027,0 200 500 500 800 1000,50.507
9 13 19 23,2,0 93 212 306 637 869,0 100 200 300 600 900,50.587
9 17 19 21,2,0 74 173 267 1008 1101,0 100 200 300 1000 1100,50.587
11 13 17 23,1,0 388 465 677 911 1124,0 400 500 700 900 1100,50.941
3 13 19 23,5,0 193 331 405 988 1062,0 200 300 400 1000 1100,51.215
1 7 11 21,3,0 418 471 889 969 1120,0 400 500 900 1000 1100,51.449
11 15 19 21,4,0 173 537 710 790 1119,0 200 500 700 800 1100,51.565
7 11 15 19,5,0 410 529 663 783 1192,0 400 500 700 800 1200,51.604
3 7 17 19,5,0 193 529 597 933 1126,0 200 500 600 900 1100,51.614
1 3 9 21,2,0 28 231 498 730 996,0 0 200 500 700 1000,51.624
7 11 13 15,4,0 129 664 792 911 1081,0 100 700 800 900 1100,51.798
1 5 7 11,3,0 386 417 804 969 1035,0 400 400 800 1000 1000,51.836
3 7 9 19,5,0 94 498 529 933 1027,0 100 500 500 900 1000,51.952
1 5 11 21,3,0 81 165 730 814 895,0 100 200 700 800 900,52.029
11 13 15 21,4,0 293 583 663 830 911,0 300 600 700 800 900,52.23
9 11 13 23,1,0 487 564 776 911 1124,0 500 600 800 900 1100,52.326
1 9 17 21,1,0 105 267 372 471 1102,0 100 300 400 500 1100,52.374
1 7 11 15,3,0 112 232 664 783 895,0 100 200 700 800 900,52.707
1 11 15 21,3,0 471 537 1008 1088 1119,0 500 500 1000 1100 1100,52.716
3 5 11 21,0,0 803 884 968 1034 1119,0 800 900 1000 1000 1100,52.972
3 5 7 11,0,0 101 266 417 884 1034,0 100 300 400 900 1000,53.46
1 3 7 17,2,0 105 267 372 604 969,0 100 300 400 600 1000,53.619
7 13 21 23,5,0 213 341 370 498 711,0 200 300 400 500 700,53.619
1 13 19 23,2,0 212 297 510 841 869,0 200 300 500 800 900,53.805
7 9 17 19,4,0 99 193 435 529 628,0 100 200 400 500 600,53.852
3 11 15 21,0,0 305 386 536 968 1119,0 300 400 500 1000 1100,53.87
5 15 17 23,5,0 282 498 523 740 1022,0 300 500 500 700 1000,54.231
3 7 11 15,0,0 266 386 417 536 803,0 300 400 400 500 800,54.277
3 7 11 21,1,0 80 231 782 933 1014,0 100 200 800 900 1000,54.498
3 9 17 21,4,0 267 604 870 969 1102,0 300 600 900 1000 1100,54.498
5 9 15 23,5,0 278 460 702 776 1018,0 300 500 700 800 1000,54.663
1 3 7 9,5,0 232 498 730 933 996,0 200 500 700 900 1000,55.073
3 11 13 23,0,0 76 138 215 289 1126,0 100 100 200 300 1100,55.154
7 11 21 23,4,0 80 341 421 498 1123,0 100 300 400 500 1100,55.272
5 7 9 11,3,0 182 417 600 765 1035,0 200 400 600 800 1000,55.344
5 9 11 21,3,0 81 165 934 1018 1099,0 100 200 900 1000 1100,55.381
1 7 9 17,1,0 105 765 870 969 1102,0 100 800 900 1000 1100,55.812
9 11 15 21,4,0 266 537 803 884 1119,0 300 500 800 900 1100,56.134
3 5 15 23,4,0 74 316 460 702 775,0 100 300 500 700 800,56.223
5 7 11 17,0,0 165 336 501 782 918,0 200 300 500 800 900,56.303
5 11 17 21,3,0 81 165 835 919 1000,0 100 200 800 900 1000,56.321
11 15 17 21,3,0 366 537 903 983 1119,0 400 500 900 1000 1100,56.427
7 9 11 15,4,0 316 436 663 783 1099,0 300 400 700 800 1100,56.666
7 11 15 17,3,0 217 337 664 783 1000,0 200 300 700 800 1000,56.947
7 13 19 21,5,0 129 173 302 672 830,0 100 200 300 700 800,57.079
7 9 11 21,3,0 267 418 685 765 1120,0 300 400 700 800 1100,57.123
1 5 15 23,5,0 387 498 628 740 1127,0 400 500 600 700 1100,57.324
9 13 15 23,4,0 212 460 636 884 1096,0 200 500 600 900 1100,57.55
1 19 21 23,0,0 173 330 470 628 801,0 200 300 500 600 800,57.567
3 19 21 23,3,0 99 173 331 969 1126,0 100 200 300 1000 1100,57.689
3 5 11 15,0,0 221 386 536 884 1034,0 200 400 500 900 1000,57.836
13 15 17 23,3,0 212 460 736 983 1195,0 200 500 700 1000 1200,57.914
3 7 9 17,3,0 168 267 604 765 1102,0 200 300 600 800 1100,57.948
9 19 21 23,5,0 603 776 869 933 1027,0 600 800 900 900 1000,58.0
1 11 13 23,1,0 283 360 572 911 1124,0 300 400 600 900 1100,58.052
1 3 21 23,3,0 397 471 629 969 1127,0 400 500 600 1000 1100,58.146
17 19 21 23,5,0 504 677 834 869 1027,0 500 700 800 900 1000,58.232
3 9 21 23,3,0 193 267 425 969 1126,0 200 300 400 1000 1100,58.31
