Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
3 7 15 23,1,0 74 120 193 460 934,0 100 100 200 500 900,62.298
11 13 17 19,5,0 254 464 718 910 1007,0 300 500 700 900 1000,62.33
7 9 15 23,1,0 120 436 460 776 896,0 100 400 500 800 900,62.354
1 7 15 23,5,0 509 628 740 968 1080,0 500 600 700 1000 1100,62.362
1 11 13 17,5,0 360 446 806 911 1095,0 400 400 800 900 1100,62.434
1 9 11 23,4,0 347 572 919 996 1123,0 300 600 900 1000 1100,62.442
3 7 11 17,5,0 180 446 597 783 933,0 200 400 600 800 900,62.474
9 11 13 19,5,0 254 563 817 910 1106,0 300 600 800 900 1100,62.53
11 17 19 21,3,0 81 254 835 1008 1088,0 100 300 800 1000 1100,62.53
3 9 13 19,2,0 93 138 232 637 795,0 100 100 200 600 800,62.538
3 11 17 23,3,0 74 447 521 597 1124,0 100 400 500 600 1100,62.538
11 17 19 23,3,0 77 331 754 1007 1084,0 100 300 800 1000 1100,62.538
1 5 7 23,2,0 232 572 618 959 1190,0 200 600 600 1000 1200,62.554
5 7 9 23,1,0 194 436 618 776 959,0 200 400 600 800 1000,62.554
7 11 15 23,3,0 340 663 1004 1080 1123,0 300 700 1000 1100 1100,62.562
7 15 17 23,5,0 404 523 740 863 1080,0 400 500 700 900 1100,62.562
3 9 11 13,5,0 209 347 498 910 1061,0 200 300 500 900 1100,62.57
1 7 9 11,2,0 204 417 621 853 969,0 200 400 600 900 1000,62.578
1 11 17 21,2,0 24 105 471 754 1119,0 0 100 500 800 1100,62.602
1 9 13 15,2,0 112 316 360 564 675,0 100 300 400 600 700,62.618
5 11 21 23,2,0 8 84 165 1043 1123,0 0 100 200 1000 1100,62.634
5 7 17 23,1,0 95 337 618 677 959,0 100 300 600 700 1000,62.674
1 3 13 17,4,0 105 465 702 1061 1166,0 100 500 700 1100 1200,62.698
3 11 17 21,1,0 81 231 446 597 678,0 100 200 400 600 700,62.698
7 9 11 19,3,0 94 418 512 765 947,0 100 400 500 800 900,62.753
1 5 9 13,1,0 182 386 636 840 1023,0 200 400 600 800 1000,62.809
7 9 11 17,3,0 318 417 754 765 1101,0 300 400 800 800 1100,62.889
7 11 17 19,5,0 193 446 529 782 975,0 200 400 500 800 1000,62.889
1 9 11 21,2,0 123 204 471 853 1119,0 100 200 500 900 1100,62.897
1 9 11 13,4,0 204 552 564 911 1115,0 200 600 600 900 1100,62.944
3 11 13 19,5,0 116 254 405 911 1062,0 100 300 400 900 1100,62.944
9 11 17 21,4,0 267 754 1020 1101 1119,0 300 800 1000 1100 1100,62.984
1 3 7 11,0,0 266 417 498 648 915,0 300 400 500 600 900,63.071
5 11 15 23,4,0 165 460 625 701 1123,0 200 500 600 700 1100,63.087
1 3 11 21,0,0 417 498 648 968 1119,0 400 500 600 1000 1100,63.103
3 5 7 23,5,0 242 266 508 582 1126,0 200 300 500 600 1100,63.119
1 3 9 13,3,0 65 204 564 702 1062,0 100 200 600 700 1100,63.127
1 13 17 19,0,0 192 297 735 840 1033,0 200 300 700 800 1000,63.143
3 7 9 11,5,0 81 347 498 782 933,0 100 300 500 800 900,63.143
11 15 19 23,3,0 77 330 537 790 867,0 100 300 500 800 900,63.143
5 7 13 15,1,0 119 454 573 702 1072,0 100 500 600 700 1100,63.198
7 17 21 23,5,0 341 498 677 834 1175,0 300 500 700 800 1200,63.206
3 9 11 23,3,0 74 348 422 498 1123,0 100 300 400 500 1100,63.222
5 7 19 23,2,0 287 529 618 870 958,0 300 500 600 900 1000,63.23
5 11 19 23,4,0 165 870 1035 1111 1123,0 200 900 1000 1100 1100,63.246
3 9 11 21,1,0 80 231 347 498 579,0 100 200 300 500 600,63.364
7 9 13 21,4,0 128 267 395 765 830,0 100 300 400 800 800,63.427
9 11 19 23,3,0 77 331 853 1106 1183,0 100 300 900 1100 1200,63.435
1 11 15 23,1,0 35 112 572 664 1124,0 0 100 600 700 1100,63.443
3 7 21 23,3,0 628 702 860 969 1126,0 600 700 900 1000 1100,63.443
7 9 21 23,5,0 267 424 702 859 1126,0 300 400 700 900 1100,63.451
1 3 11 13,0,0 138 289 498 648 787,0 100 300 500 600 800,63.577
5 13 15 23,4,0 286 499 740 746 988,0 300 500 700 700 1000,63.695
1 11 19 23,4,0 254 572 825 902 1123,0 300 600 800 900 1100,63.702
5 7 13 19,5,0 89 128 217 671 745,0 100 100 200 700 700,63.718
3 7 13 17,5,0 469 597 735 933 1072,0 500 600 700 900 1100,63.781
11 13 19 21,5,0 174 254 830 911 1084,0 200 300 800 900 1100,63.789
1 11 13 19,5,0 254 359 613 902 910,0 300 400 600 900 900,63.797
11 15 21 23,3,0 77 157 537 617 694,0 100 200 500 600 700,63.812
1 5 11 23,4,0 165 572 737 813 1123,0 200 600 700 800 1100,63.844
7 9 13 17,3,0 29 128 465 765 1101,0 0 100 500 800 1100,63.844
1 7 9 13,2,0 128 204 332 564 969,0 100 200 300 600 1000,63.883
1 7 13 17,2,0 105 128 233 465 969,0 100 100 200 500 1000,63.906
1 3 7 13,1,0 138 231 370 498 1072,0 100 200 400 500 1100,63.977
1 9 13 19,0,0 93 297 636 840 934,0 100 300 600 800 900,64.109
3 11 15 23,0,0 76 386 463 536 1126,0 100 400 500 500 1100,64.133
1 3 5 13,3,0 138 386 525 840 884,0 100 400 500 800 900,64.195
3 11 19 23,3,0 74 254 328 404 1123,0 100 300 300 400 1100,64.195
3 7 9 13,5,0 370 498 636 933 1071,0 400 500 600 900 1100,64.265
5 13 19 21,5,0 89 173 745 830 919,0 100 200 700 800 900,64.312
5 13 15 21,5,0 370 454 617 702 1071,0 400 500 600 700 1100,64.42
7 13 17 21,4,0 128 366 494 830 864,0 100 400 500 800 900,64.591
3 7 13 19,5,0 129 405 533 672 1062,0 100 400 500 700 1100,64.676
1 3 11 23,0,0 76 498 575 648 1126,0 100 500 600 600 1100,64.692
3 5 11 23,0,0 76 884 961 1034 1126,0 100 900 1000 1000 1100,64.692
7 11 13 19,5,0 129 254 382 672 911,0 100 300 400 700 900,64.699
1 7 13 19,5,0 129 360 672 903 1031,0 100 400 700 900 1000,64.769
7 9 13 19,4,0 35 129 564 672 1107,0 0 100 600 700 1100,64.769
